-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 01/01/2023 
Location: Latitude  -0.735   Longitude -0.7906 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS50M                   MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX               MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,PS,WS10M,WS10M_MAX,WS50M,WS50M_MAX
2021,1,29,4.97,6.48,0.48,423.31,99.6,125.96,12.85,0.41,2.16,4.05,101.09,4.52,5.79,4.84,6.27
2021,1,30,6.34,6.67,0.62,414.93,124.59,129.84,15.82,0.48,2.61,3.67,101.06,4.06,4.41,4.32,4.7
2021,1,31,5.84,6.3,0.57,416.55,113.73,121.24,13.95,0.42,2.21,3.47,101.06,3.82,4.33,4.04,4.59
2021,2,1,6.3,6.52,0.61,406.68,123.27,126.64,15.47,0.48,2.55,4.15,101.11,4.64,6.42,4.97,7.0
2021,2,2,6.47,6.67,0.62,408.2,126.61,129.61,15.95,0.49,2.63,2.85,101.08,3.12,4.63,3.3,4.96
2021,2,3,6.23,6.64,0.6,413.2,122.62,129.27,15.52,0.48,2.59,3.16,101.1,3.47,3.92,3.68,4.18
2021,2,4,5.69,6.37,0.55,424.65,111.8,123.16,13.91,0.44,2.39,3.88,101.05,4.34,5.02,4.67,5.45
2021,2,5,6.12,6.6,0.59,418.57,120.68,128.96,15.3,0.49,2.67,4.82,101.1,5.48,6.23,5.95,6.79
2021,2,6,4.8,6.43,0.46,425.86,96.55,125.31,12.41,0.41,2.12,3.99,101.12,4.45,4.99,4.74,5.39
2021,2,7,5.82,6.61,0.56,421.18,114.99,128.55,14.73,0.48,2.62,3.29,101.01,3.62,4.59,3.84,4.94
2021,2,8,4.37,6.36,0.42,425.2,87.52,122.15,11.14,0.38,2.05,4.23,100.96,4.75,5.32,5.11,5.74
2021,2,9,5.94,6.38,0.57,415.4,116.02,123.09,14.34,0.47,2.52,3.8,101.02,4.25,5.23,4.54,5.63
2021,2,10,5.9,6.42,0.57,416.5,115.38,124.3,14.34,0.46,2.5,3.44,100.98,3.84,4.72,4.12,5.09
2021,2,11,6.55,6.69,0.63,413.09,128.22,130.06,16.24,0.52,2.89,3.42,100.98,3.81,4.22,4.09,4.54
2021,2,12,6.45,6.79,0.62,418.47,126.93,132.27,16.08,0.5,2.7,3.88,100.92,4.35,5.05,4.66,5.45
2021,2,13,6.0,7.03,0.58,424.94,119.65,137.75,15.71,0.52,2.84,4.79,100.88,5.41,5.75,5.84,6.22
2021,2,14,5.15,7.11,0.49,423.93,104.93,139.75,14.19,0.48,2.58,4.62,100.91,5.18,5.72,5.53,6.14
2021,2,15,6.92,7.14,0.66,409.1,136.04,138.77,17.59,0.58,3.17,3.49,100.9,3.84,4.71,4.04,5.0
2021,2,16,6.27,6.79,0.6,425.33,124.23,132.72,15.75,0.52,2.76,4.88,100.93,5.53,6.52,5.97,7.12
2021,2,17,6.29,6.5,0.6,411.75,122.62,125.66,15.23,0.49,2.72,4.56,101.03,5.15,6.6,5.55,7.2
2021,2,18,3.77,6.59,0.36,418.8,77.54,127.92,10.2,0.34,1.79,1.73,101.19,1.84,2.83,1.9,2.99
2021,2,19,6.08,6.56,0.58,408.25,117.98,125.54,14.52,0.47,2.51,3.38,101.23,3.72,5.29,3.92,5.69
2021,2,20,6.2,6.55,0.59,409.84,120.93,126.26,15.09,0.48,2.62,2.51,101.22,2.71,4.19,2.84,4.48
2021,2,21,5.61,6.7,0.53,412.57,111.38,130.45,14.34,0.48,2.59,2.77,101.15,3.01,4.29,3.16,4.54
2021,2,22,4.24,6.59,0.41,418.55,86.05,128.39,11.4,0.38,1.98,3.79,101.1,4.2,6.63,4.48,7.2
2021,2,23,6.17,6.61,0.59,419.48,122.51,129.59,15.46,0.51,2.8,3.54,101.08,3.88,4.18,4.09,4.41
2021,2,24,1.35,6.95,0.12,424.16,29.89,137.38,4.38,0.14,0.74,3.61,101.17,3.98,4.78,4.19,5.09
2021,2,25,1.54,6.46,0.15,428.36,34.26,126.57,4.68,0.16,0.84,3.28,101.21,3.61,5.27,3.8,5.64
2021,2,26,6.55,6.67,0.62,412.24,128.84,130.02,16.32,0.55,3.09,3.66,101.02,4.05,5.62,4.3,6.03
2021,2,27,6.53,6.73,0.62,412.33,129.18,131.62,16.4,0.55,3.07,3.69,100.93,4.05,4.45,4.27,4.72
2021,2,28,6.26,6.61,0.59,412.26,123.4,128.72,15.6,0.52,2.91,3.11,100.84,3.39,3.91,3.57,4.13
2021,3,1,6.17,6.4,0.59,418.38,121.29,124.57,15.12,0.49,2.74,3.81,100.84,4.26,5.16,4.55,5.61
2021,3,2,5.5,6.51,0.52,418.39,109.15,126.41,13.77,0.45,2.41,4.55,100.79,5.16,5.88,5.6,6.43
2021,3,3,5.99,6.22,0.57,417.49,116.59,120.06,14.21,0.44,2.39,3.74,100.82,4.19,4.63,4.48,4.98
2021,3,4,5.9,6.38,0.56,418.99,115.75,123.3,14.19,0.44,2.34,3.99,100.87,4.48,5.09,4.81,5.48
2021,3,5,5.94,6.27,0.56,415.88,115.16,121.17,14.11,0.42,-999.0,4.38,101.0,4.95,6.39,5.34,6.96
2021,3,6,3.54,6.56,0.34,421.51,73.09,127.2,9.75,0.3,1.52,4.73,101.09,5.37,6.66,5.79,7.27
2021,3,7,6.0,6.52,0.57,419.81,118.13,126.29,14.8,0.44,2.31,3.59,101.12,3.98,5.27,4.23,5.7
2021,3,8,6.35,6.74,0.6,413.88,124.48,130.27,15.76,0.47,2.48,5.08,100.99,5.77,8.85,6.25,9.78
2021,3,9,5.9,6.85,0.56,418.77,116.8,132.93,15.1,0.45,2.34,4.32,100.88,4.84,6.03,5.17,6.49
2021,3,10,4.81,6.58,0.46,417.74,96.23,126.76,12.52,0.39,2.02,3.3,100.92,3.62,4.24,3.83,4.52
2021,3,11,2.23,6.87,0.21,423.7,47.26,133.88,6.75,0.2,1.05,3.4,100.94,3.73,5.09,3.96,5.43
2021,3,12,5.95,6.83,0.56,422.23,118.25,132.69,15.29,0.45,2.3,2.94,100.89,3.24,5.16,3.45,5.55
2021,3,13,2.9,6.88,0.27,419.91,60.04,134.39,8.34,0.25,1.29,3.68,101.03,4.05,5.41,4.28,5.77
2021,3,14,6.2,6.84,0.59,414.89,122.91,132.93,15.71,0.47,2.45,1.96,101.1,2.09,3.42,2.16,3.59
2021,3,15,3.07,6.79,0.29,422.59,64.81,131.79,9.05,0.29,1.49,1.54,101.04,1.63,3.11,1.69,3.23
2021,3,16,4.04,6.91,0.38,422.86,83.55,134.69,11.48,0.35,1.82,3.78,100.98,4.14,4.66,4.36,4.92
2021,3,17,2.42,6.91,0.23,420.55,50.97,135.02,7.26,0.23,1.17,3.09,101.06,3.34,4.81,3.49,5.05
2021,3,18,4.75,7.0,0.45,421.23,97.8,136.65,13.43,0.41,2.16,1.63,101.08,1.73,2.56,1.77,2.66
2021,3,19,5.22,7.05,0.5,417.21,105.9,137.99,14.46,0.45,2.34,2.94,100.99,3.19,4.3,3.34,4.54
2021,3,20,6.35,7.13,0.61,414.02,127.17,139.74,16.91,0.51,2.67,2.83,101.0,3.06,3.56,3.2,3.73
2021,3,21,1.88,7.31,0.18,418.43,41.27,144.38,6.21,0.19,0.95,2.71,100.97,2.93,5.42,3.04,5.75
2021,3,22,2.22,7.11,0.21,423.49,48.07,139.78,7.09,0.21,1.08,4.97,101.0,5.55,6.02,5.91,6.44
2021,3,23,0.84,6.88,0.08,419.92,19.45,133.8,2.95,0.09,0.44,4.35,101.22,4.8,6.16,5.08,6.59
2021,3,24,4.36,7.19,0.41,422.66,90.74,141.21,12.9,0.41,2.12,4.16,101.26,4.59,6.09,4.88,6.56
2021,3,25,2.1,7.05,0.2,422.41,46.24,138.16,6.84,0.22,1.14,2.97,101.22,3.23,5.67,3.41,6.09
2021,3,26,6.62,6.98,0.63,411.79,131.59,136.23,16.98,0.5,2.66,3.33,101.0,3.65,4.27,3.84,4.52
2021,3,27,5.79,6.35,0.55,420.12,112.68,120.9,13.68,0.41,2.14,4.08,101.01,4.55,5.23,4.88,5.65
2021,3,28,1.52,5.99,0.15,424.38,32.23,113.65,4.09,0.11,0.57,3.81,101.04,4.25,4.75,4.53,5.09
2021,3,29,6.12,6.57,0.59,417.22,120.45,126.98,15.15,0.43,2.23,3.39,101.05,3.76,4.58,3.98,4.87
2021,3,30,4.23,6.69,0.41,422.34,86.43,129.54,11.58,0.34,1.73,2.7,101.0,2.94,3.34,3.08,3.5
2021,3,31,6.09,6.65,0.59,417.07,119.58,128.09,15.08,0.44,2.28,3.69,100.92,4.09,4.77,4.35,5.12
2021,4,1,5.53,5.86,0.53,416.03,105.37,110.05,12.28,0.34,1.78,3.74,100.95,4.16,4.7,4.44,5.03
2021,4,2,5.68,6.61,0.55,424.16,113.02,128.03,14.42,0.42,2.18,4.05,101.03,4.57,5.05,4.95,5.51
2021,4,3,5.69,6.74,0.55,424.82,113.85,131.18,14.76,0.44,2.27,4.48,100.99,5.09,6.02,5.54,6.62
2021,4,4,6.11,6.57,0.59,422.41,120.99,127.67,15.34,0.45,2.38,4.43,100.99,5.01,5.8,5.44,6.37
2021,4,5,6.13,6.8,0.59,416.59,122.63,132.98,15.87,0.47,2.45,4.16,100.98,4.69,5.52,5.07,6.04
2021,4,6,6.31,6.65,0.61,414.3,124.84,129.58,15.78,0.45,2.33,3.62,100.96,4.03,6.96,4.34,7.73
2021,4,7,6.49,6.76,0.63,413.63,128.36,131.77,16.38,0.47,2.46,4.58,100.94,5.22,7.09,5.69,7.88
2021,4,8,6.11,6.94,0.59,421.05,122.63,135.98,16.12,0.49,2.59,4.29,100.98,4.82,5.93,5.2,6.46
2021,4,9,5.01,6.67,0.49,427.0,101.4,130.13,13.39,0.41,2.16,2.83,100.99,3.1,4.77,3.27,5.02
2021,4,10,5.0,6.66,0.49,424.22,101.59,130.26,13.5,0.4,2.08,3.7,100.84,4.08,4.93,4.31,5.22
2021,4,11,6.08,6.82,0.59,419.49,121.74,133.8,15.92,0.47,2.48,3.06,100.95,3.37,5.27,3.6,5.76
2021,4,12,6.88,7.01,0.67,410.51,136.95,137.54,17.8,0.51,2.66,2.49,101.05,2.7,4.3,2.86,4.62
2021,4,13,5.75,6.95,0.56,418.1,116.04,136.78,15.62,0.47,2.43,4.7,101.12,5.3,6.12,5.7,6.62
2021,4,14,2.5,6.85,0.24,424.36,53.83,134.61,7.99,0.24,1.22,3.13,101.1,3.45,5.68,3.66,6.1
2021,4,15,6.59,6.82,0.65,414.59,130.63,133.58,16.83,0.48,2.54,2.72,100.93,2.95,3.41,3.1,3.59
2021,4,16,6.39,6.85,0.63,417.21,127.4,134.45,16.71,0.49,2.56,4.05,100.89,4.52,5.38,4.84,5.85
2021,4,17,5.66,6.77,0.56,418.45,113.89,132.93,15.11,0.45,2.3,3.14,100.92,3.5,5.2,3.74,5.63
2021,4,18,4.59,6.68,0.45,419.45,93.42,131.03,12.69,0.39,2.02,1.95,101.12,2.08,3.34,2.16,3.49
2021,4,19,6.57,6.84,0.65,413.5,130.95,134.65,17.0,0.52,2.72,3.5,101.06,3.85,4.71,4.07,5.02
2021,4,20,5.75,6.78,0.57,419.0,115.68,133.52,15.42,0.47,2.46,3.31,100.99,3.62,4.96,3.83,5.27
2021,4,21,6.08,6.82,0.6,420.71,121.84,134.61,16.17,0.48,2.54,2.63,100.94,2.85,3.21,3.01,3.39
2021,4,22,5.56,6.96,0.55,423.52,112.9,137.62,15.42,0.47,2.46,1.89,101.06,2.02,2.91,2.11,3.04
2021,4,23,5.53,6.73,0.55,419.93,111.5,132.83,14.87,0.45,2.33,3.02,101.05,3.29,4.21,3.46,4.44
2021,4,24,5.11,6.79,0.51,422.26,104.03,134.32,14.34,0.43,2.23,3.23,101.01,3.53,5.13,3.7,5.46
2021,4,25,5.66,6.88,0.57,421.44,114.53,136.21,15.55,0.47,2.45,2.68,100.94,2.91,4.59,3.07,4.89
2021,4,26,6.7,6.93,0.67,417.09,134.26,137.37,17.65,0.52,2.77,2.74,100.95,2.96,3.85,3.11,4.08
2021,4,27,5.18,6.89,0.52,420.04,105.05,136.28,14.6,0.44,2.23,3.65,100.85,4.04,4.46,4.3,4.8
2021,4,28,6.4,6.82,0.65,418.05,127.66,134.47,16.88,0.49,2.55,3.84,100.9,4.28,5.0,4.59,5.37
2021,4,29,4.36,6.62,0.45,428.7,89.53,130.34,12.47,0.38,1.98,2.98,101.01,3.25,4.68,3.42,5.0
2021,4,30,5.29,6.56,0.54,425.45,106.8,129.51,14.38,0.42,2.2,4.28,100.92,4.8,5.41,5.18,5.89
2021,5,1,5.69,6.66,0.58,425.6,114.63,131.77,15.32,0.46,2.38,4.09,100.92,4.59,5.05,4.94,5.48
2021,5,2,6.5,6.72,0.66,417.2,129.51,132.74,16.9,0.49,2.6,4.59,100.93,5.18,5.57,5.6,6.06
2021,5,3,5.71,6.58,0.59,421.19,114.18,129.58,15.16,0.45,2.27,4.66,101.02,5.28,7.84,5.71,8.62
2021,5,4,2.39,6.57,0.24,416.87,50.85,129.07,7.37,0.22,1.08,2.41,100.99,2.61,4.05,2.73,4.3
2021,5,5,6.13,6.56,0.62,413.81,120.86,128.09,15.78,0.43,2.2,2.86,101.11,3.12,4.3,3.31,4.58
2021,5,6,6.52,6.77,0.67,413.41,129.45,133.13,16.97,0.48,2.48,3.28,101.22,3.6,4.24,3.84,4.55
2021,5,7,4.87,6.7,0.5,410.41,97.38,130.23,13.5,0.41,2.11,4.3,101.31,4.82,5.22,5.18,5.63
2021,5,8,6.32,6.75,0.65,405.84,124.59,131.83,16.38,0.47,2.43,4.12,101.38,4.59,5.62,4.91,6.05
2021,5,9,6.56,6.88,0.68,402.03,128.38,133.4,16.85,0.5,2.64,3.36,101.26,3.68,4.23,3.87,4.46
2021,5,10,6.86,7.02,0.71,396.24,133.84,135.67,17.48,0.51,2.64,4.05,101.22,4.48,5.03,4.76,5.38
2021,5,11,6.89,6.97,0.71,406.0,135.23,135.5,17.62,0.49,2.58,2.95,101.25,3.19,4.24,3.37,4.51
2021,5,12,6.67,6.81,0.7,408.47,132.66,134.13,17.29,0.48,2.52,1.93,101.22,2.05,2.83,2.16,2.97
2021,5,13,6.65,6.73,0.7,405.83,131.86,132.34,17.12,0.49,2.59,1.86,101.11,2.0,4.42,2.08,4.68
2021,5,14,6.38,6.61,0.66,408.74,126.49,130.0,16.45,0.48,2.5,3.39,100.99,3.72,4.52,3.93,4.79
2021,5,15,5.89,6.59,0.62,418.93,117.72,129.84,15.52,0.46,2.42,4.7,101.04,5.27,6.13,5.65,6.62
2021,5,16,4.48,6.54,0.47,426.8,91.27,128.82,12.61,0.39,2.01,5.32,101.11,6.02,6.64,6.46,7.16
2021,5,17,4.38,6.52,0.46,429.69,89.79,128.75,12.52,0.4,2.04,4.27,101.12,4.76,6.38,5.09,6.88
2021,5,18,6.45,6.53,0.68,409.2,127.26,127.98,16.37,0.5,2.66,3.95,101.15,4.42,5.68,4.75,6.16
2021,5,19,6.19,6.39,0.65,415.39,121.77,124.84,15.62,0.48,2.52,5.43,101.2,6.2,6.87,6.77,7.49
2021,5,20,5.04,6.02,0.53,430.79,100.65,117.42,13.01,0.4,2.08,4.62,101.26,5.24,5.73,5.67,6.26
2021,5,21,3.27,6.17,0.34,432.14,68.41,120.56,9.58,0.31,1.59,4.64,101.28,5.23,6.43,5.65,7.0
2021,5,22,4.84,6.05,0.52,424.01,96.46,117.95,12.58,0.36,1.82,3.65,101.32,4.07,5.3,4.38,5.76
2021,5,23,5.55,6.27,0.59,418.42,110.71,123.52,14.55,0.45,2.31,4.66,101.25,5.3,6.41,5.74,7.01
2021,5,24,6.2,6.3,0.66,421.93,123.12,124.27,15.79,0.47,2.48,5.41,101.23,6.21,6.92,6.82,7.66
2021,5,25,5.96,6.26,0.63,420.29,117.7,122.74,15.17,0.43,2.25,4.98,101.19,5.72,6.86,6.27,7.58
2021,5,26,5.84,6.12,0.62,420.31,114.8,119.35,14.58,0.42,2.17,4.31,101.2,4.87,5.89,5.27,6.48
2021,5,27,5.71,5.96,0.61,416.06,112.23,116.49,14.22,0.41,2.18,5.43,101.15,6.27,6.87,6.93,7.59
2021,5,28,5.66,6.1,0.6,420.76,111.93,119.63,14.39,0.41,2.14,5.41,101.1,6.23,6.56,6.85,7.24
2021,5,29,5.96,6.14,0.64,417.51,117.26,120.27,15.01,0.44,2.31,5.27,101.07,6.05,6.61,6.64,7.29
2021,5,30,5.07,5.85,0.54,433.79,99.93,113.58,12.68,0.38,1.95,5.59,101.05,6.46,6.86,7.13,7.62
2021,5,31,2.99,5.72,0.32,426.36,60.84,110.14,8.03,0.23,1.18,4.66,101.12,5.3,5.98,5.77,6.54
2021,6,1,3.44,5.72,0.37,426.05,69.18,110.7,9.2,0.27,1.34,4.48,101.15,5.07,5.47,5.49,5.93
2021,6,2,4.07,5.67,0.44,423.62,81.06,109.23,10.48,0.3,1.5,4.75,101.19,5.45,6.0,5.96,6.61
2021,6,3,5.42,6.11,0.59,415.08,106.96,119.23,13.93,0.41,2.13,4.55,101.23,5.17,5.84,5.61,6.39
2021,6,4,5.9,6.14,0.63,414.85,115.56,119.51,14.75,0.41,2.16,4.31,101.26,4.91,6.14,5.35,6.74
2021,6,5,5.53,6.07,0.59,410.08,108.21,117.6,13.84,0.39,1.98,4.18,101.26,4.72,6.51,5.08,7.09
2021,6,6,5.11,5.97,0.55,411.55,100.45,115.28,12.88,0.37,1.89,4.92,101.17,5.58,6.49,6.03,7.05
2021,6,7,5.59,5.99,0.6,420.19,108.91,115.99,13.78,0.39,2.02,4.38,101.09,4.94,5.77,5.34,6.27
2021,6,8,5.69,6.07,0.62,414.52,110.94,117.2,14.15,0.41,2.09,4.56,101.14,5.18,5.8,5.63,6.38
2021,6,9,5.26,5.84,0.57,419.1,102.55,113.12,12.81,0.37,-999.0,5.59,101.1,6.46,6.89,7.16,7.63
2021,6,10,5.19,6.04,0.56,409.88,101.39,116.39,13.05,0.38,1.91,5.57,101.06,6.39,7.69,6.99,8.52
2021,6,11,5.45,6.04,0.59,411.2,106.95,117.31,13.7,0.38,1.93,3.8,101.09,4.22,5.55,4.49,5.98
2021,6,12,3.68,5.84,0.4,417.28,74.32,112.99,9.84,0.28,1.43,3.75,101.24,4.17,5.33,4.44,5.73
2021,6,13,4.62,5.73,0.5,420.29,90.99,110.21,11.6,0.34,1.72,4.63,101.31,5.24,5.89,5.64,6.38
2021,6,14,5.09,5.79,0.55,411.74,99.05,111.13,12.47,0.35,1.8,4.34,101.33,4.88,5.59,5.23,6.04
2021,6,15,5.46,5.98,0.59,406.34,105.64,114.91,13.37,0.36,1.84,3.72,101.34,4.11,4.9,4.32,5.2
2021,6,16,5.6,6.26,0.61,401.45,108.98,120.65,14.09,0.39,1.99,4.3,101.46,4.8,5.38,5.08,5.7
2021,6,17,5.94,6.43,0.65,389.21,113.75,122.2,14.7,0.41,2.12,5.02,101.48,5.63,6.45,6.01,6.92
2021,6,18,6.01,6.45,0.66,390.09,115.21,122.54,14.88,0.41,2.16,3.91,101.47,4.3,5.25,4.52,5.59
2021,6,19,5.83,6.28,0.63,400.24,114.25,121.98,14.81,0.42,2.22,4.8,101.42,5.41,6.48,5.8,7.04
2021,6,20,5.25,6.05,0.57,402.27,102.82,117.14,13.34,0.38,1.9,5.58,101.45,6.36,7.16,6.91,7.84
2021,6,21,5.48,6.0,0.59,402.55,106.26,115.3,13.52,0.37,1.89,4.14,101.41,4.62,5.5,4.93,5.91
2021,6,22,5.63,5.91,0.61,399.07,108.23,113.16,13.54,0.38,1.95,3.98,101.38,4.43,5.17,4.7,5.53
2021,6,23,4.64,5.67,0.51,419.62,90.98,108.67,11.59,0.32,1.63,5.07,101.3,5.77,6.95,6.27,7.69
2021,6,24,5.65,5.99,0.62,409.05,110.02,115.91,13.97,0.39,2.02,5.22,101.26,5.98,6.73,6.53,7.41
2021,6,25,5.51,5.92,0.6,400.16,106.53,113.62,13.42,0.38,2.01,4.49,101.33,5.09,5.54,5.48,6.0
2021,6,26,4.5,5.92,0.49,415.8,89.51,115.09,11.79,0.34,1.78,3.81,101.22,4.27,5.09,4.57,5.48
